EAN,Código Interno,Nombre Producto,Categoría,Subcategoría,Marca,Fabricante,Precio de Lista,Precio de Oferta,Tipo de Oferta,URL
7793253007119,,bolsa residuos 45x55 x45u mortimer 1 un,mayonesas,GENERAL,MORTIMER,,5258.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7793253007119&P=1
7793253007126,,bolsa residuos 50x65 x 15u mortimer 1 un,mayonesas,GENERAL,MORTIMER,,3925.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7793253007126&P=1
7794950555507,,bolsa consorcio 0.45 x 0.60 resisten-t 10 un,mayonesas,GENERAL,RESISTEN-T,,1416.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794950555507&P=1
7793253007232,,bolsa residuos 60x90 x20u mortimer 1 un,mayonesas,GENERAL,MORTIMER,,7667.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7793253007232&P=1
7790117061294,,bolsa residuos lavanda asurin 30 un,mayonesas,GENERAL,ASURIN,,2237.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790117061294&P=1
7795850000036,,bolsas 60 x 100 x 10 polisol 1 un,mayonesas,GENERAL,POLISOL,,2381.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795850000036&P=1
7501032990053,,bolsas cierre facil ch ziploc 50 un,mayonesas,GENERAL,ZIPLOC,,6845.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7501032990053&P=1
7790117000033,,bolsas consorcio 60 x 100 asurin 10 un,mayonesas,GENERAL,ASURIN,,4362.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790117000033&P=1
7501032908720,,bolsas cierre facil ext.ch ziploc 50 un,mayonesas,GENERAL,ZIPLOC,,6708.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7501032908720&P=1
7794459000768,,bolsas consorcio 90x120x10 son buenas 1 un,mayonesas,GENERAL,SON BUENAS,,2793.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794459000768&P=1
7790117061850,,bolsas consorcio limon asurin 1 un,mayonesas,GENERAL,ASURIN,,5174.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790117061850&P=1
7793490221019,,bolsas freezer bouquet 1 un,mayonesas,GENERAL,BOUQUET,,2809.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7793490221019&P=1
7790900046118,,bolsas hermeticas medianas x 8 bolzip 1 un,mayonesas,GENERAL,BOLZIP,,3223.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790900046118&P=1
7794950090169,,bolsas p/vegetales frozens 1 un,mayonesas,GENERAL,FROZENS,,4718.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794950090169&P=1
7790117003362,,bolsas p/jardines 80 x 110 asurin 10 un,mayonesas,GENERAL,ASURIN,,8627.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790117003362&P=1
7795850000012,,bolsas resid.45x60x30 polisol 1 un,mayonesas,GENERAL,POLISOL,,1661.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795850000012&P=1
7795850000029,,bolsas resid.50x70x30 polisol 1 un,mayonesas,GENERAL,POLISOL,,2446.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795850000029&P=1
7794459000980,,bolsas residuos l 50x70x20 son buenas 1 un,mayonesas,GENERAL,SON BUENAS,,1271.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794459000980&P=1
7793424000369,,broches madera busgran 12 un,mayonesas,GENERAL,BUSGRAN,,1131.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7793424000369&P=1
7790773003010,,broches madera ideal 12 un,mayonesas,GENERAL,IDEAL,,2468.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790773003010&P=1
7798059389025,,broche p/ropa plastico dea 12 un,mayonesas,GENERAL,DEA,,1728.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798059389025&P=1
7790560002165,,broches madera sed metal 12 un,mayonesas,GENERAL,SED METAL,,1488.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790560002165&P=1
7896001035010,,broches plasticos esfrebom 16 un,mayonesas,GENERAL,ESFREBOM,,2733.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7896001035010&P=1
7790773003300,,broches plasticos ideal 12 un,mayonesas,GENERAL,IDEAL,,2468.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790773003300&P=1
7794440007059,,escoba exterior virulana 1 un,mayonesas,GENERAL,VIRULANA,,6196.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794440007059&P=1
7792459000252,,escoba barremas la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,5703.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459000252&P=1
7792459002188,,escoba exteriores la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,6933.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459002188&P=1
7896001001671,,escoba novica original s/cabo bettanin 1 un,mayonesas,GENERAL,BETTANIN,,5790.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7896001001671&P=1
7792459002140,,escoba plastica bombay la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,4174.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459002140&P=1
7792459002133,,escoba plastica rincones la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,7188.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459002133&P=1
7896001016712,,escoba novica original s/cabo bettanin 1 un,mayonesas,GENERAL,BETTANIN,,5790.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7896001016712&P=1
7896001016354,,escobillon andino delicado s/cabo bettanin 1 un,mayonesas,GENERAL,BETTANIN,,6208.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7896001016354&P=1
7798070400518,,escobillon bori yet 1 un,mayonesas,GENERAL,YET,,5275.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798070400518&P=1
7794440007035,,escobillon clasico virulana 1 un,mayonesas,GENERAL,VIRULANA,,5345.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7794440007035&P=1
7792459007275,,escobillon curvo max la gauchita 1 un,mayonesas,GENERAL,LA GAUCHITA,,6253.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459007275&P=1
7790560001816,,escobillon extra suave limpex 1 un,mayonesas,GENERAL,LIMPEX,,9950.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790560001816&P=1
7790560001885,,escobillon reforzado limpex 1 un,mayonesas,GENERAL,LIMPEX,,8757.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7790560001885&P=1
7792459007176,,escobillon multiuso asapractic 1 un,mayonesas,GENERAL,ASAPRACTIC,,4435.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7792459007176&P=1
7798059389179,,escobillon saturno dea 1 un,mayonesas,GENERAL,DEA,,4684.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798059389179&P=1
